TITLE,PEGDA 1500 MgTFSI 30 03_05_18,
DATA TYPE,RAMAN SPECTRUM,
ORIGIN,JASCO,
OWNER,,
DATE,18/03/05,
TIME,9:27:25,
SPECTROMETER/DATA SYSTEM,,
LOCALE,1041,
RESOLUTION,,
DELTAX,1,
XUNITS,1/CM,
YUNITS,INTENSITY,
FIRSTX,212.4148,
LASTX,2060.4148,
NPOINTS,1849,
FIRSTY,45.04688,
MAXY,944.58575,
MINY,29.04553,
XYDATA,,
448.4148,41.7271,
449.4148,47.074,
450.4148,63.5133,
451.4148,71.3326,
452.4148,70.293,
453.4148,70.4178,
454.4148,71.6982,
455.4148,69.1826,
456.4148,67.4356,
457.4148,74.9962,
458.4148,83.9394,
459.4148,79.0568,
460.4148,69.7973,
461.4148,77.1704,
462.4148,91.1788,
463.4148,86.3643,
464.4148,67.408,
465.4148,55.3147,
466.4148,54.681,
467.4148,60.2578,
468.4148,66.3972,
469.4148,68.3252,
470.4148,71.8655,
471.4148,86.5596,
472.4148,96.565,
473.4148,75.9139,
474.4148,46.2786,
475.4148,51.5376,
476.4148,80.697,
477.4148,94.3517,
478.4148,85.712,
479.4148,66.9168,
480.4148,51.6378,
481.4148,52.2246,
482.4148,61.2893,
483.4148,62.1097,
484.4148,53.3457,
485.4148,42.2911,
486.4148,37.5775,
487.4148,46.6059,
488.4148,59.5845,
489.4148,60.62,
490.4148,60.3766,
491.4148,78.8384,
492.4148,96.9983,
493.4148,81.9986,
494.4148,51.8682,
495.4148,45.1732,
496.4148,60.5673,
497.4148,77.8091,
498.4148,81.5743,
499.4148,62.9303,
500.4148,43.5539,
501.4148,53.0995,
502.4148,75.5879,
503.4148,79.703,
504.4148,71.2601,
505.4148,69.116,
506.4148,70.1938,
507.4148,64.1128,
508.4148,53.6591,
509.4148,46.3923,
510.4148,45.9627,
511.4148,53.2512,
512.4148,61.6176,
513.4148,62.8778,
514.4148,56.5531,
515.4148,45.8295,
516.4148,38.6934,
